month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,108,173,23981,1279,3287,1695,109,66,104,16
2,54,189,22336,1503,3666,1731,108,52,147,25
3,120,422,27418,2043,5043,2803,273,84,271,37
4,226,448,24731,1515,4507,2288,267,95,299,46
5,165,348,25393,1431,5361,2268,266,97,240,40
6,121,415,23068,1523,5223,1762,138,79,202,45
7,85,347,27548,1284,5231,2174,225,168,268,42
8,91,436,40656,1584,6491,3137,284,194,252,43
9,155,579,28609,1533,5362,2564,255,163,259,39
10,219,740,29949,2154,5690,2628,362,108,374,55
11,134,702,31479,2211,6591,2918,306,251,352,64
12,76,272,28766,1327,4532,1856,131,59,167,46
