year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,497,498,9677,509,2172,7920,3805,8286,1628,119
2009,428,490,9704,657,2525,8457,5371,8414,1752,104
2010,541,476,8969,645,2416,9817,4807,9384,1825,117
2011,553,260,8642,428,2662,9897,4990,10586,1544,55
2012,688,683,9993,970,3702,11756,6467,10971,2475,211
2013,514,826,8313,441,2757,8203,5322,9432,1810,70
2014,456,540,9580,456,2340,8255,4188,8624,1415,70
2015,527,593,11023,586,2715,9429,4954,9428,1806,94
2016,533,767,12910,751,3355,11995,6278,10084,2175,149
2017,652,981,13449,845,3915,10201,5726,9312,2449,135
2018,691,963,12900,781,3460,9841,5307,8370,2150,134
2019,732,1009,13570,842,3454,9359,5644,7847,2311,111
2020,269,303,6907,338,1944,6366,3669,8103,1238,85
2021,182,289,4846,198,1280,3747,2016,5418,880,58
2022,340,560,9160,472,2150,5899,3282,6305,1324,87
2023,644,616,9857,576,2549,5701,3401,5776,1515,119
