month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,165,143,4675,189,1135,5097,6353,1125,800,69
2,188,198,4441,282,955,4842,5954,999,787,81
3,447,292,6470,516,1575,6555,7284,1201,1173,120
4,472,229,5292,340,1237,5159,6328,913,932,162
5,352,352,5830,468,1743,5717,6317,1079,1156,123
6,254,344,4770,422,1469,4628,5937,1097,925,101
7,163,236,5601,288,1209,5144,6307,961,1022,64
8,177,271,7452,343,1827,7897,7460,1537,1171,84
9,306,288,6211,375,1587,5873,5762,1068,1149,84
10,578,437,6951,475,2104,5954,7222,1087,1260,108
11,639,662,7677,538,2374,6226,7342,1146,1367,192
12,256,272,5928,401,1666,5271,8196,1205,939,97
